Vertices,Time
10,20
20,22
30,31
40,42
50,42
60,43
70,76
80,67
90,89
100,69
110,91
120,46
130,44
140,25
150,55
160,51
170,80
180,26
190,118
200,83
210,56
220,51
230,60
240,60
250,92
260,107
270,92
280,122
290,32
300,60
310,76
320,94
330,48
340,31
350,104
360,78
370,75
380,98
390,103
400,176
410,102
420,69
430,49
440,139
450,57
460,56
470,119
480,121
490,95
500,73
510,67
520,184
530,134
540,101
550,51
560,98
570,70
580,53
590,78
600,145
610,162
620,110
630,21
640,146
650,132
660,253
670,66
680,76
690,220
700,58
710,139
720,42
730,174
740,77
750,189
760,81
770,213
780,112
790,170
800,150
810,25
820,91
830,72
840,183
850,78
860,131
870,112
880,97
890,100
900,128
910,194
920,95
930,127
940,22
950,192
960,177
970,88
980,139
990,60
1000,135
1010,93
1020,134
1030,123
1040,111
1050,137
1060,107
1070,240
1080,174
1090,61
1100,141
1110,137
1120,129
1130,113
1140,100
1150,137
1160,25
1170,100
1180,213
1190,134
1200,116
1210,139
1220,286
1230,129
1240,99
1250,111
1260,72
1270,59
1280,119
1290,186
1300,160
1310,177
1320,172
1330,148
1340,199
1350,170
1360,126
1370,57
1380,65
1390,35
1400,115
1410,188
1420,202
1430,276
1440,159
1450,137
1460,124
1470,274
1480,88
1490,132
1500,124
1510,124
1520,235
1530,265
1540,131
1550,151
1560,52
1570,257
1580,269
1590,220
1600,126
1610,142
1620,166
1630,139
1640,281
1650,137
1660,288
1670,125
1680,156
1690,176
1700,43
1710,315
1720,152
1730,81
1740,85
1750,188
1760,67
1770,115
1780,179
1790,148
1800,153
1810,169
1820,75
1830,159
1840,204
1850,179
1860,270
1870,252
1880,131
1890,92
1900,122
1910,316
1920,283
1930,282
1940,312
1950,82
1960,169
1970,242
1980,198
1990,226
2000,147
2010,253
2020,113
2030,255
2040,128
2050,233
2060,171
2070,109
2080,142
2090,280
2100,224
2110,219
2120,190
2130,161
2140,50
2150,167
2160,130
2170,320
2180,103
2190,61
2200,281
2210,289
2220,381
2230,247
2240,211
2250,423
2260,173
2270,279
2280,92
2290,107
2300,121
2310,167
2320,517
2330,303
2340,316
2350,120
2360,149
2370,222
2380,373
2390,287
2400,182
2410,83
2420,166
2430,172
2440,120
2450,332
2460,188
2470,248
2480,93
2490,316
2500,51
2510,175
2520,147
2530,288
2540,195
2550,110
2560,53
2570,187
2580,221
2590,68
2600,221
2610,191
2620,300
2630,390
2640,331
2650,157
2660,122
2670,98
2680,380
2690,192
2700,267
2710,72
2720,420
2730,252
2740,153
2750,226
2760,387
2770,190
2780,350
2790,297
2800,210
2810,112
2820,346
2830,202
2840,82
2850,447
2860,148
2870,116
2880,139
2890,400
2900,299
2910,392
2920,194
2930,153
2940,161
2950,232
2960,120
2970,296
2980,344
2990,190
3000,201
3010,221
3020,141
3030,432
3040,238
3050,140
3060,305
3070,250
3080,200
3090,253
3100,143
3110,157
3120,145
3130,270
3140,271
3150,172
3160,103
3170,106
3180,138
3190,376
3200,456
3210,74
3220,206
3230,255
3240,313
3250,203
3260,182
3270,188
3280,98
3290,171
3300,346
3310,383
3320,129
3330,446
3340,294
3350,174
3360,178
3370,37
3380,128
3390,143
3400,199
3410,238
3420,361
3430,334
3440,157
3450,156
3460,199
3470,304
3480,236
3490,272
3500,170
3510,438
3520,418
3530,182
3540,525
3550,373
3560,302
3570,142
3580,499
3590,176
3600,128
3610,409
3620,303
3630,130
3640,254
3650,559
3660,376
